DrugBank ID,drug_name,PX,ST_VIRUS,cleaned_smiles,scaffolds,clusters
,,9.99996,Hepatitis C virus,COC(=O)NC(C(=O)N1[C@H](c2nc(-c3ccc(-c4ccc(-c5c[nH]c([C@@H]6C[C@H]7C[C@H]7N6C(=O)C(NC(=O)OC)[C@@H]6C[C@@H]7C[C@@H]7C6)n5)cc4)cc3)c[nH]2)C[C@H]2C[C@H]21)[C@@H]1C[C@@H]2C[C@@H]2C1,O=C(CC1CC2CC2C1)N1C(c2nc(-c3ccc(-c4ccc(-c5c[nH]c(C6CC7CC7N6C(=O)CC6CC7CC7C6)n5)cc4)cc3)c[nH]2)CC2CC21,196
,,9.99568,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1noc2cc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)[nH]4)cc3)ccc12)[C@@H](C)OC,O=C(Nc1noc2cc(-c3ccc(-c4cnc(C5CCCN5)[nH]4)cc3)ccc12)C1CCCN1,197
,,9.99568,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1noc2cc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)ccc12)C(C)C,O=C(Nc1noc2cc(-c3ccc(-c4cnc(C5CCCN5)[nH]4)cc3)ccc12)C1CCCN1,197
,AG-094,9.99568,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cc(Cl)c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)[nH]4)cc3)cc2)[nH]1)[C@@H](C)OC,c1cc(-c2ccc(C3CCCN3)[nH]2)ccc1-c1ccc(-c2cnc(C3CCCN3)[nH]2)cc1,2
,AG-095,9.99568,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1cc(Cl)c(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)[nH]4)cc3)cc2)[nH]1)[C@@H](C)OC,c1cc(-c2ccc(C3CCCN3)[nH]2)ccc1-c1ccc(-c2cnc(C3CCCN3)[nH]2)cc1,2
,PA-5006,9.99568,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3oc(-c4ccc(-c5ccc6[nH]c([C@@H]7CC8(CC8)CN7C(=O)[C@@H](NC(=O)OC)C(C)C)nc6c5)cc4)cc3c2)[nH]1)C(C)C,c1cc(-c2cc3cc(-c4cnc(C5CCCN5)[nH]4)ccc3o2)ccc1-c1ccc2[nH]c(C3CC4(CC4)CN3)nc2c1,1
,PA-5005,9.99568,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3oc(-c4ccc(-c5ccc6[nH]c([C@@H]7CCCN7C(=O)[C@@H](NC(=O)OC)C(C)C)nc6c5)cc4)cc3c2)[nH]1)C(C)C,c1cc(-c2cc3cc(-c4cnc(C5CCCN5)[nH]4)ccc3o2)ccc1-c1ccc2[nH]c(C3CCCN3)nc2c1,1
,AG-087,9.99568,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCCC1c1cc(Cl)c(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,c1cc(-c2ccc(C3CCCN3)[nH]2)ccc1-c1ccc(-c2cnc(C3CCCN3)[nH]2)cc1,-1
,PA-5003,9.99568,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3cc4cc(-c5ccc6[nH]c([C@@H]7CC8(CC8)CN7C(=O)[C@@H](NC(=O)OC)C(C)C)nc6c5)ccc4o3)cc2)[nH]1)C(C)C,c1cc2oc(-c3ccc(-c4cnc(C5CCCN5)[nH]4)cc3)cc2cc1-c1ccc2[nH]c(C3CC4(CC4)CN3)nc2c1,-1
,,9.99568,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1n[nH]c2cc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)ccc12)C(C)C,O=C(Nc1n[nH]c2cc(-c3ccc(-c4cnc(C5CCCN5)[nH]4)cc3)ccc12)C1CCCN1,-1
