cleaned_smiles,Rift Valley fever virus,Herpes simplex virus,Yellow fever virus,Norovirus,JC polyomavirus,Varicella zoster virus,Human papilloma virus,Adenovirus,Hepatitis virus,Xenotropic murine leukemia virus-related virus,Rhinovirus,Epstein Barr virus,Chikungunya virus,Lassa virus,Ebola virus,Rabies virus,Zika virus,T-lymphotropic virus,West Nile virus,polyomavirus,Ross River virus,Marburg virus,Poliovirus,Kaposi's sarcoma-associated herpesvirus,Crimean-Congo hemorrhagic fever virus,Parainfluenza virus,Japanese encephalitis virus,Sindbis virus,Vaccinia virus,BK virus,Coronavirus,Rubella virus,Enterovirus,Influenza,Filovirus,Human immunodeficiency virus,Dengue virus,Cytomegalovirus,Respiratory syncytial virus
Brc1ccc(CN[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Brc1ccc(Nc2ncnc3ccccc23)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Brc1cccc(-c2nnc(/C=C/c3ccc(Br)s3)o2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
C#C/C=C(\c1ccc(F)cc1)c1ccc2nc(N)n(S(=O)(=O)C(C)C)c2c1,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
C#CC(C)(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(CC)NC(=O)c1cccc(-c2cc3c(C(=O)NC)c(-c4ccc(F)cc4)oc3cc2N(CCCF)S(C)(=O)=O)c1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)OC(=O)C(NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1)C(C)C,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)OC(=O)CNP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(CC)(CC)NC(=O)c1cccc(-c2cc3c(C(=O)NC)c(-c4ccc(F)cc4)oc3cc2N(CCCF)S(C)(=O)=O)c1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCC/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
C#CCCC(NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](C(=O)C1CC1)C1CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCCC(NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](C(=O)C1CC1)C1CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NCC=C,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
